classification_key,parent_key,name,lifecycle_type,attributes_schema
outdoor.foot-pump,outdoor,Foot pump,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.frame,outdoor,Frame,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.gravel-bike,outdoor,Gravel bike,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.hammock,outdoor,Hammock,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.home-trainer,outdoor,Home trainer,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.inflatable-mattress,outdoor,Inflatable mattress,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.mattress,outdoor,Mattress,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.mountain-bike,outdoor,Mountain bike,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.pad,outdoor,Pad,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.pillow,outdoor,Pillow,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.road-bike,outdoor,Road bike,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.seat,outdoor,Seat,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.shelter,outdoor,Shelter,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.shower,outdoor,Shower,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.sleeping-bag,outdoor,Sleeping bag,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.sleeping-bag-liner,outdoor,Sleeping bag liner,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.tent,outdoor,Tent,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.tent-poles,outdoor,Tent poles,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
